,precision,recall,f1-score,support
0,0.8793103448275862,0.85,0.864406779661017,60.0
1,0.847457627118644,0.8333333333333334,0.8403361344537815,60.0
2,0.9322033898305084,0.9166666666666666,0.9243697478991597,60.0
3,0.9830508474576272,0.9666666666666667,0.9747899159663865,60.0
4,0.9354838709677419,0.9666666666666667,0.9508196721311475,60.0
5,0.875,0.9333333333333333,0.9032258064516129,60.0
6,0.9058823529411765,0.9506172839506173,0.927710843373494,81.0
7,0.9764705882352941,0.9764705882352941,0.9764705882352941,85.0
8,0.8904109589041096,0.8333333333333334,0.8609271523178808,78.0
9,0.735632183908046,0.8,0.7664670658682635,80.0
10,0.7777777777777778,0.717948717948718,0.7466666666666667,78.0
11,0.8452380952380952,0.8987341772151899,0.8711656441717791,79.0
12,0.8314606741573034,0.9487179487179487,0.8862275449101796,78.0
13,0.9264705882352942,0.8513513513513513,0.8873239436619719,74.0
14,0.9259259259259259,0.9259259259259259,0.9259259259259259,81.0
15,0.9538461538461539,0.8985507246376812,0.9253731343283582,69.0
16,0.9186046511627907,0.9404761904761905,0.9294117647058824,84.0
17,0.9444444444444444,0.8831168831168831,0.912751677852349,77.0
18,0.9487179487179487,0.9024390243902439,0.925,82.0
19,0.9534883720930233,0.9647058823529412,0.9590643274853801,85.0
20,0.9024390243902439,0.961038961038961,0.9308176100628931,77.0
21,0.946236559139785,1.0,0.9723756906077348,88.0
22,0.9,0.9,0.9,90.0
23,0.9433962264150944,0.8064516129032258,0.8695652173913043,62.0
24,0.9545454545454546,0.8873239436619719,0.9197080291970803,71.0
25,0.9230769230769231,0.972972972972973,0.9473684210526315,74.0
26,0.8970588235294118,0.953125,0.9242424242424242,64.0
27,0.7547169811320755,0.7692307692307693,0.7619047619047619,52.0
28,0.8939393939393939,0.8428571428571429,0.8676470588235294,70.0
29,0.8484848484848485,0.8235294117647058,0.835820895522388,68.0
30,0.9512195121951219,0.975,0.9629629629629629,80.0
31,0.7681159420289855,0.7910447761194029,0.7794117647058824,67.0
32,0.8392857142857143,0.7833333333333333,0.8103448275862069,60.0
accuracy,0.8951545530492899,0.8951545530492899,0.8951545530492899,0.8951545530492899
macro avg,0.8942240060288651,0.8916655340061053,0.8921395151553434,2394.0
weighted avg,0.8961571983360154,0.8951545530492899,0.8948597405114421,2394.0
